Package,Package Priority,Developer in Master List,Link of PR Raised,Upgrade Required, Build Status,Version in Build Status,Release in Build Status,Download Success,Number SRPMs downloaded, Dowloaded SRPM 1,Dowloaded SRPM 2,Dowloaded SRPM 3,Version Downloaded SRPM,Release Downloaded SRPM,Package location info,Package Version in 3.0-dev,Bulk Build Success, Bulk Build Number of SRPMs, Developer from under review sheet, Under Review PR Link, Reviewer, Review Status
samba,NA,NA,NA,Y,Built,4.18.3,1.azl3,1,1,samba-4.21.2-1.fc41.src.rpm,Default Initialized,Default Initialized,4.21.2,1.fc41,EXISTS_IN_EXT,4.18.3,N,0,nan,NOT_FOUND,NA,NA
sassist,NA,NA,NA,Revisit No Dnld Ver,Built,0.8.5,5.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,0.8.5,N,0,nan,NOT_FOUND,NA,NA
satyr,P1,Sumit,https://github.com/microsoft/azurelinux/pull/11240,Y,Failed,0.30,3.azl3,1,1,satyr-0.43-4.fc41.src.rpm,Default Initialized,Default Initialized,0.43,4.fc41,EXISTS_IN_EXT,0.30,Y,1,Sumit,https://github.com/microsoft/azurelinux/pull/11240,NA,NA
sbc,P0,Archana,https://github.com/microsoft/azurelinux/pull/11821,Y,Built,1.4,6.azl3,1,1,sbc-2.0-5.fc41.src.rpm,Default Initialized,Default Initialized,2.0,5.fc41,EXISTS_IN_EXT,1.4,Y,1,Archana,https://github.com/microsoft/azurelinux/pull/11821,NA,NA
sblim-cim-client2,NA,NA,NA,N,Built,2.2.5,16.azl3,1,1,sblim-cim-client2-2.2.5-30.fc41.src.rpm,Default Initialized,Default Initialized,2.2.5,30.fc41,EXISTS_IN_EXT,2.2.5,Y,1,nan,NOT_FOUND,NA,NA
sblim-cmpi-base,NA,NA,NA,N,Built,1.6.4,17.azl3,1,1,sblim-cmpi-base-1.6.4-26.fc41.src.rpm,Default Initialized,Default Initialized,1.6.4,26.fc41,EXISTS_IN_EXT,1.6.4,Y,1,nan,NOT_FOUND,NA,NA
sblim-cmpi-devel,NA,NA,NA,N,Built,2.0.3,21.azl3,1,1,sblim-cmpi-devel-2.0.3-31.fc41.src.rpm,Default Initialized,Default Initialized,2.0.3,31.fc41,EXISTS_IN_EXT,2.0.3,Y,1,nan,NOT_FOUND,NA,NA
sblim-cmpi-fsvol,NA,NA,NA,N,Built,1.5.1,27.azl3,1,1,sblim-cmpi-fsvol-1.5.1-37.fc41.src.rpm,Default Initialized,Default Initialized,1.5.1,37.fc41,EXISTS_IN_EXT,1.5.1,Y,1,nan,NOT_FOUND,NA,NA
sblim-cmpi-network,NA,NA,NA,N,Built,1.4.0,26.azl3,1,1,sblim-cmpi-network-1.4.0-35.fc41.src.rpm,Default Initialized,Default Initialized,1.4.0,35.fc41,EXISTS_IN_EXT,1.4.0,Y,1,nan,NOT_FOUND,NA,NA
sblim-cmpi-nfsv3,NA,NA,NA,N,Built,1.1.1,23.azl3,1,1,sblim-cmpi-nfsv3-1.1.1-33.fc41.src.rpm,Default Initialized,Default Initialized,1.1.1,33.fc41,EXISTS_IN_EXT,1.1.1,Y,1,nan,NOT_FOUND,NA,NA
sblim-cmpi-nfsv4,NA,NA,NA,N,Built,1.1.0,24.azl3,1,1,sblim-cmpi-nfsv4-1.1.0-35.fc41.src.rpm,Default Initialized,Default Initialized,1.1.0,35.fc41,EXISTS_IN_EXT,1.1.0,Y,1,nan,NOT_FOUND,NA,NA
sblim-cmpi-params,NA,NA,NA,N,Built,1.3.0,24.azl3,1,1,sblim-cmpi-params-1.3.0-33.fc41.src.rpm,Default Initialized,Default Initialized,1.3.0,33.fc41,EXISTS_IN_EXT,1.3.0,Y,1,nan,NOT_FOUND,NA,NA
sblim-cmpi-sysfs,NA,NA,NA,N,Built,1.2.0,24.azl3,1,1,sblim-cmpi-sysfs-1.2.0-34.fc41.src.rpm,Default Initialized,Default Initialized,1.2.0,34.fc41,EXISTS_IN_EXT,1.2.0,Y,1,nan,NOT_FOUND,NA,NA
sblim-cmpi-syslog,NA,NA,NA,N,Built,0.9.0,20.azl3,1,1,sblim-cmpi-syslog-0.9.0-28.fc41.src.rpm,Default Initialized,Default Initialized,0.9.0,28.fc41,EXISTS_IN_EXT,0.9.0,Y,1,nan,NOT_FOUND,NA,NA
sblim-indication_helper,NA,NA,NA,N,Built,0.5.0,4.azl3,1,1,sblim-indication_helper-0.5.0-14.fc41.src.rpm,Default Initialized,Default Initialized,0.5.0,14.fc41,EXISTS_IN_EXT,0.5.0,Y,1,nan,NOT_FOUND,NA,NA
sblim-sfcCommon,NA,NA,NA,N,Built,1.0.1,16.azl3,1,1,sblim-sfcCommon-1.0.1-25.fc41.src.rpm,Default Initialized,Default Initialized,1.0.1,25.fc41,EXISTS_IN_EXT,1.0.1,Y,1,nan,NOT_FOUND,NA,NA
sblim-sfcb,NA,NA,NA,N,Built,1.4.9,20.azl3,1,1,sblim-sfcb-1.4.9-32.fc41.src.rpm,Default Initialized,Default Initialized,1.4.9,32.fc41,EXISTS_IN_EXT,1.4.9,Y,1,nan,NOT_FOUND,NA,NA
sblim-sfcc,NA,NA,NA,N,Built,2.2.8,15.azl3,1,1,sblim-sfcc-2.2.8-27.fc41.src.rpm,Default Initialized,Default Initialized,2.2.8,27.fc41,EXISTS_IN_EXT,2.2.8,Y,1,nan,NOT_FOUND,NA,NA
sblim-testsuite,NA,NA,NA,N,Built,1.3.0,23.azl3,1,1,sblim-testsuite-1.3.0-32.fc41.src.rpm,Default Initialized,Default Initialized,1.3.0,32.fc41,EXISTS_IN_EXT,1.3.0,Y,1,nan,NOT_FOUND,NA,NA
sblim-wbemcli,NA,NA,NA,N,Built,1.6.3,18.azl3,1,1,sblim-wbemcli-1.6.3-28.fc41.src.rpm,Default Initialized,Default Initialized,1.6.3,28.fc41,EXISTS_IN_EXT,1.6.3,Y,1,nan,NOT_FOUND,NA,NA
scl-utils,P0,Archana,https://github.com/microsoft/azurelinux/pull/11898,Y,Built,2.0.2,15.azl3,1,1,scl-utils-2.0.3-4.fc41.src.rpm,Default Initialized,Default Initialized,2.0.3,4.fc41,EXISTS_IN_EXT,2.0.2,Y,1,Archana,NA,NA,NA
scotch,NA,NA,NA,Y,Built,6.1.2,3.azl3,1,1,scotch-7.0.4-5.fc41.src.rpm,Default Initialized,Default Initialized,7.0.4,5.fc41,EXISTS_IN_EXT,6.1.2,N,0,nan,NOT_FOUND,NA,NA
screen,NA,NA,NA,N,Built,4.9.1,1.azl3,1,1,screen-4.9.1-2.fc41.src.rpm,Default Initialized,Default Initialized,4.9.1,2.fc41,EXISTS_IN_EXT,4.9.1,Y,1,nan,NOT_FOUND,NA,NA
