S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link,
11,SDL,Revisit,Revisit,,Jyoti,Not Started,,,,,y,06-10-2024,1.2.15,1.2.15,,Package is currently unmaintained,,,SDL package was replaced with sdl12-compat package (bug #1967205).,,
12,SDL2,Y,2.30.3,,Jyoti,Not Started,,,,,N,06-10-2024,2.24.0,2.24.0,2.30.3,"https://src.fedoraproject.org/rpms/SDL2

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2488560
",2.30.8,https://github.com/libsdl-org/SDL/archive/refs/tags/release-2.30.8.tar.gz,,,
13,SDL_sound,N,NA,,Jyoti,NA-Uptodate,,19-09-2024,19-09-2024,,Y,02-10-2024,1.0.3,1.0.3,1.0.3,"https://src.fedoraproject.org/rpms/a52dec

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2488625",1.0.3,https://icculus.org/SDL_sound/downloads/,,,
14,SuperLU,Y,7.0.0,,Jyoti,PR Approved,https://github.com/microsoft/azurelinux/pull/10744,14-10-2024,15-10-2024,,Y,08-10-2024,5.2.1,5.2.1,7.0.0,"https://src.fedoraproject.org/rpms/SuperLU
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2541706",7.0.0,https://github.com/xiaoyeli/superlu/archive/refs/tags/v7.0.0.tar.gz,,,
15,Xaw3d,Y,1.6.6,,Jyoti,PR in Review,https://github.com/microsoft/azurelinux/pull/10762,15-10-2024,16-10-2024,,Y,08-10-2024,1.6.3,1.6.3,1.6.6,"https://src.fedoraproject.org/rpms/Xaw3d
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2488616",1.6.6,https://xorg.freedesktop.org/archive/individual/lib/,,https://github.com/microsoft/azurelinux/pull/10762,
16,a52dec,N,,,Jyoti,NA-Uptodate,,,,,Y,02-10-2024,0.7.4,0.7.4,0.7.4,"https://src.fedoraproject.org/rpms/a52dec

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2488625",,https://sourceforge.net/projects/liba52/,Upstream is not available on mentioned link. Revisit later.,,
17,accountsservice,Y,23.13.9,,Jyoti,PR Approved,https://github.com/microsoft/azurelinux/pull/10766,16-10-2024,17-10-2024,,N,08-10-2024,0.6.55,0.6.55,23.13.9,"https://src.fedoraproject.org/rpms/accountsservice
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2488646
",23.13.9,https://www.freedesktop.org/software/accountsservice/accountsservice-23.13.9.tar.xz,,https://github.com/microsoft/azurelinux/pull/10766,
18,acpid,Y,2.0.34,,Jyoti,PR Approved,https://github.com/microsoft/azurelinux/pull/10696,09-10-2024,10-10-2024,11-10-2024,Y,08-10-2024,2.0.32,2.0.32,2.0.34,"https://src.fedoraproject.org/rpms/acpid

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2525508
",2.0.34,https://sourceforge.net/projects/acpid2/files/latest/download,,https://github.com/microsoft/azurelinux/pull/10696,
19,adcli,N,NA,,Jyoti,NA-Uptodate,,19-09-2024,19-09-2024,,Y,02-10-2024,0.9.2,0.9.2,0.9.2,"https://src.fedoraproject.org/rpms/adcli

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2488665",0.9.2,"Releases · realmd / adcli · GitLab
",,,
20,adobe-mappings-cmap,Y,20231115,,Jyoti,PR Approved,https://github.com/microsoft/azurelinux/pull/10765,17-10-2024,17-10-2024,,Y,08-10-2024,20171205,20171205,20230622,"https://src.fedoraproject.org/rpms/adobe-mappings-cmap
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2488673
",20231115,https://github.com/adobe-type-tools/cmap-resources/archive/refs/tags/20231115.tar.gz,,https://github.com/microsoft/azurelinux/pull/10765,
21,adobe-mappings-pdf,Y,20230118,,Jyoti,PR Approved,https://github.com/microsoft/azurelinux/pull/10792,18-10-2024,21-10-2024,,Y,08-10-2024,20180407,20180407,20190401,"https://src.fedoraproject.org/rpms/adobe-mappings-pdf
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2488674",20230118,https://github.com/adobe-type-tools/mapping-resources-pdf/archive/refs/tags/20230118.tar.gz,,https://github.com/microsoft/azurelinux/pull/10792,
22,cmake-fedora,N,NA,,Jyoti,NA-Uptodate,,19-09-2024,19-09-2024,,Y,02-10-2024,2.9.3,2.9.3,2.9.3,"https://src.fedoraproject.org/rpms/cmake-fedora

Fedora 42 Sources:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2489765
",2.9.3,"https://pagure.io/cmake-fedora/releases

The 2.9.3 tar.gz:

https://pagure.io/cmake-fedora/archive/2.9.3/cmake-fedora-2.9.3.tar.gz","The Source0 in spec should be updated to the tar.gz path captured in cell I7, i.e. 
https://pagure.io/cmake-fedora/archive/2.9.3/cmake-fedora-2.9.3.tar.gz",,
