Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)"
hunspell-mg,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-mi,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-mk,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ml,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-mn,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-mos,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-mr,Akarsh,,N,N,Y,Y,N,N,,P0
hunspell-ms,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-mt,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-nds,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ne,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-nl,Akarsh,,N,N,Y,Y,N,N,,P0
hunspell-no,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-nr,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-nso,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ny,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-om,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-or,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-pa,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-pl,Akarsh,,N,N,Y,Y,N,N,,P0
hunspell-pt,Akarsh,,N,N,Y,Y,N,N,,P0
hunspell-quh,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ro,Akarsh,,N,N,Y,Y,N,N,,P0
hunspell-ru,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-rw,Neeraj,,N,N,Y,Y,N,N,,P1
