Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package
hunspell-kk,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-km,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-kn,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ko,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ku,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ky,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-la,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-lb,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ln,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-mai,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-mg,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-mi,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-mk,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ml,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-mn,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-mos,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-mr,Akarsh,,N,N,Y,Y,N,N,,P0,NA
hunspell-ms,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-mt,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-nds,Neeraj,,N,N,Y,Y,N,N,,P1,NA
